gsis_id,season,source,pass_yards,pass_tds,interceptions,rush_yards,rush_tds,receptions,rec_yards,rec_tds,points
00-0030506,2026,espn,0.0,0.0,0.0,0.0,0.0,73.93902906,772.8911069,4.547582994,178.513637714
00-0030506,2026,fantasypros,,,,,,75.3,786.3,4.9,183.33
00-0030565,2026,espn,3815.216003,20.4058202,14.35380989,220.1197872,1.042591859,0.0,0.0,0.0,233.79183101399997
00-0031040,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031136,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031203,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031235,2026,espn,0.0,0.0,0.0,0.0,0.0,9.226309695,113.207113,0.604850957,24.176126737
00-0031237,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031270,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031364,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031381,2026,espn,0.0,0.0,0.0,0.0,0.0,67.5043756,1016.457058,10.59792766,232.73764736
00-0031408,2026,espn,0.0,0.0,0.0,0.0,0.0,56.73188696,893.9264618,5.823251875,181.06404439
00-0031411,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031492,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031503,2026,espn,163.228228,0.920398582,0.899004646,2.661352364,0.027378822,0.0,0.0,0.0,8.8431223244
00-0031565,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031576,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031583,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031588,2026,espn,0.0,0.0,0.0,0.0,0.0,71.07824061,726.4113249,3.446735008,164.39978314799998
00-0031595,2026,espn,0.0,0.0,0.0,17.70882097,0.101585571,4.224935847,26.71467914,0.14647608,10.155655764
00-0031610,2026,espn,0.0,0.0,0.0,0.0,0.0,43.06901933,473.4209432,4.021118265,114.53782324000001
00-0031898,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031933,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0031957,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032052,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032065,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032103,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032146,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032164,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032268,2026,espn,166.0544952,0.964315679,0.671883327,9.784311314,0.055985746,0.0,0.0,0.0,10.4700214774
00-0032378,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032387,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032392,2026,espn,0.0,0.0,0.0,0.0,0.0,20.56053108,181.1551317,0.823832932,43.619041842
00-0032424,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032442,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032464,2026,espn,0.0,0.0,0.0,27.1624984,0.159518405,19.17305102,186.8596444,0.894492802,46.899332541999996
00-0032569,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032580,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032667,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032726,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032759,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032762,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032764,2026,espn,0.0,0.0,0.0,1483.529148,13.14420738,21.38322276,210.3339079,1.199562374,276.83214687400005
00-0032764,2026,fantasypros,,,,1569.8,13.4,18.1,175.1,0.7,277.19
00-0032775,2026,espn,0.0,0.0,0.0,0.0,0.0,3.278813762,43.89526864,0.308518875,9.519453876
00-0032889,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032943,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032951,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033038,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033051,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033055,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033066,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
